Gene.Name	Standard.Name	Chromosome	Start.Coordinate	End.Coordinate	Strand	NTE.Length
YDL077C	VAM6	IV	316971	320120	-	0
YDL078C	MDH3	IV	315357	316397	-	3
YDL079C	MRK1	IV	312951	314748	-	0
YDL080C	THI3	IV	310642	312480	-	3
YDL081C	RPP1A	IV	309802	310122	-	0
YDL082W	RPL13A	IV	308424	309388	+	0
YDL083C	RPS16B	IV	306926	307801	-	4
YDL084W	SUB2	IV	305216	306577	+	7
YDL085C-A	YDL085C-A	IV	302464	302700	-	10
YDL085W	NDE2	IV	303211	304848	+	0
YDL086W	YDL086W	IV	301413	302234	+	0
YDL087C	LUC7	IV	300214	300999	-	0
YDL088C	ASM4	IV	298417	300009	-	2
YDL089W	NUR1	IV	296820	298274	+	0
YDL090C	RAM1	IV	295034	296329	-	0
YDL091C	UBX3	IV	293392	294759	-	0
YDL092W	SRP14	IV	292781	293221	+	0
YDL093W	PMT5	IV	289861	292140	+	16
YDL095W	PMT1	IV	287053	289512	+	2
YDL097C	RPN6	IV	285391	286707	-	4
YDL098C	SNU23	IV	284581	285165	-	0
YDL099W	BUG1	IV	283392	284444	+	9
YDL100C	GET3	IV	282112	283185	-	3
YDL101C	DUN1	IV	280307	281860	-	4
YDL102W	POL3	IV	276848	280165	+	8
YDL103C	QRI1	IV	275148	276581	-	0
YDL104C	QRI7	IV	273653	274879	-	1
YDL105W	NSE4	IV	272350	273597	+	13
YDL106C	PHO2	IV	270222	271913	-	4
YDL110C	TMA17	IV	264512	265018	-	18
YDL111C	RRP42	IV	263313	264110	-	0
YDL112W	TRM3	IV	258879	263225	+	12
YDL113C	ATG20	IV	256633	258555	-	0
YDL115C	IWR1	IV	253995	255135	-	3
YDL116W	NUP84	IV	251566	253746	+	0
YDL117W	CYK3	IV	248572	251238	+	3
YDL119C	HEM25	IV	246689	247630	-	6
YDL120W	YFH1	IV	245923	246447	+	0
YDL121C	YDL121C	IV	245133	245582	-	0
YDL122W	UBP1	IV	242552	244981	+	0
YDL123W	SNA4	IV	241403	241840	+	5
YDL124W	YDL124W	IV	240259	241197	+	0
YDL125C	HNT1	IV	239019	239606	-	0
YDL126C	CDC48	IV	236157	238667	-	1
YDL127W	PCL2	IV	234927	235853	+	0
YDL128W	VCX1	IV	232643	233887	+	3
YDL129W	YDL129W	IV	230961	231899	+	21
YDL130W	RPP1B	IV	229906	230527	+	0
YDL130W-A	STF1	IV	229165	229431	+	2
YDL131W	LYS21	IV	227393	228715	+	0
YDL133W	SRF1	IV	222415	223740	+	4
YDL134C	PPH21	IV	219662	220771	-	0
YDL135C	RDI1	IV	218680	219291	-	1
YDL136W	RPL35B	IV	217573	218367	+	9
YDL137W	ARF2	IV	216529	217074	+	0
YDL138W	RGT2	IV	213180	215642	+	57
YDL139C	SCM3	IV	211375	212091	-	15
YDL141W	BPL1	IV	202868	205111	+	57
YDL142C	CRD1	IV	201719	202570	-	0
YDL143W	CCT4	IV	199963	201582	+	11
YDL144C	YDL144C	IV	198662	199741	-	3
YDL145C	COP1	IV	194571	198182	-	2
YDL146W	LDB17	IV	192750	194225	+	0
YDL147W	RPN5	IV	190924	192261	+	0
YDL148C	NOP14	IV	188154	190607	-	7
YDL149W	ATG9	IV	184925	187918	+	0
YDL150W	RPC53	IV	183343	184611	+	0
YDL155W	CLB3	IV	176773	178056	+	0
YDL156W	CMR1	IV	174918	176486	+	0
YDL157C	YDL157C	IV	174232	174588	-	0
YDL159W	STE7	IV	172460	174028	+	7
YDL160C	DHH1	IV	170410	171939	-	3
YDL160C-A	MHF2	IV	169366	169617	-	3
YDL161W	ENT1	IV	167711	169078	+	1
YDL164C	CDC9	IV	164987	167275	-	7
YDL165W	CDC36	IV	164278	164865	+	4
YDL166C	FAP7	IV	163449	164060	-	6
YDL167C	NRP1	IV	160995	163184	-	10
YDL168W	SFA1	IV	159604	160764	+	0
YDL169C	UGX2	IV	158064	158735	-	0
YDL170W	UGA3	IV	156318	157904	+	0
YDL174C	DLD1	IV	145826	147616	-	9
YDL175C	AIR2	IV	144484	145518	-	0
YDL176W	YDL176W	IV	142049	144223	+	16
YDL177C	YDL177C	IV	141209	141745	-	8
YDL178W	DLD2	IV	139507	141114	+	5
YDL179W	PCL9	IV	138291	139205	+	0
YDL180W	YDL180W	IV	135884	137539	+	4
YDL182W	LYS20	IV	133422	134723	+	5
YDL183C	YDL183C	IV	130871	131875	-	14
YDL184C	RPL41A	IV	130407	130484	-	0
YDL185W	VMA1	IV	126787	130002	+	0
YDL188C	PPH22	IV	123865	125046	-	16
YDL189W	RBS1	IV	122213	123589	+	1
YDL190C	UFD2	IV	118707	121595	-	1
YDL191W	RPL35A	IV	117655	118517	+	3
YDL192W	ARF1	IV	116309	116866	+	4
YDL193W	NUS1	IV	114672	115799	+	0
YDL195W	SEC31	IV	107202	111029	+	2
YDL197C	ASF2	IV	104917	106500	-	2
YDL199C	YDL199C	IV	101290	103353	-	0
YDL200C	MGT1	IV	100501	101070	-	1
YDL201W	TRM8	IV	99552	100421	+	3
YDL202W	MRPL11	IV	98472	99224	+	1
YDL203C	ACK1	IV	96082	97953	-	0
YDL204W	RTN2	IV	94512	95786	+	31
YDL205C	HEM3	IV	92762	93847	-	34
YDL206W	YDL206W	IV	90080	92464	+	32
YDL207W	GLE1	IV	88218	89864	+	10
YDL208W	NHP2	IV	87491	87982	+	7
YDL209C	CWC2	IV	86207	87238	-	4
YDL211C	YDL211C	IV	79294	80412	-	0
YDL212W	SHR3	IV	78423	79058	+	1
YDL213C	NOP6	IV	77289	77966	-	0
YDL214C	PRR2	IV	74446	76548	-	1
YDL215C	GDH2	IV	70640	73918	-	0
YDL216C	RRI1	IV	68997	70319	-	0
YDL217C	TIM22	IV	67983	68621	-	5
YDL219W	DTD1	IV	65218	65765	+	8
YDL220C	CDC13	IV	62244	65018	-	0
YDL222C	FMP45	IV	60872	61801	-	0
YDL224C	WHI4	IV	54397	56373	-	9
YDL225W	SHS1	IV	52442	54100	+	1
YDL226C	GCS1	IV	51115	52173	-	0
YDL227C	HO	IV	46271	48064	-	11
YDL229W	SSB1	IV	44065	45906	+	0
YDL230W	PTP1	IV	42694	43707	+	2
YDL231C	BRE4	IV	38867	42244	-	0
YDL232W	OST4	IV	38487	38597	+	0
YDL233W	MFG1	IV	36785	38173	+	4
YDL234C	GYP7	IV	34237	36516	-	13
YDL235C	YPD1	IV	33415	34002	-	28
YDL236W	PHO13	IV	32281	33234	+	5
YDL237W	AIM6	IV	30657	31829	+	0
YDL238C	GUD1	IV	28985	30478	-	8
YDL240W	LRG1	IV	22823	25876	+	0
YDL241W	YDL241W	IV	20635	21006	+	0
YDL248W	COS7	IV	1802	2953	+	0
YDR001C	NTH1	IV	450220	452484	-	3
YDR002W	YRB1	IV	453045	453650	+	0
YDR003W	RCR2	IV	454122	454754	+	0
YDR004W	RAD57	IV	455189	456583	+	4
YDR005C	MAF1	IV	456836	458112	-	3
YDR006C	SOK1	IV	458542	461325	-	26
YDR007W	TRP1	IV	461842	462516	+	0
YDR009W	GAL3	IV	463434	464996	+	0
YDR011W	SNQ2	IV	465901	470424	+	6
YDR012W	RPL4B	IV	471847	472941	+	2
YDR013W	PSF1	IV	473154	473783	+	1
YDR014W	RAD61	IV	473995	475989	+	17
YDR014W-A	HED1	IV	477743	478285	+	18
YDR016C	DAD1	IV	478474	478776	-	6
YDR017C	KCS1	IV	479115	482267	-	0
YDR018C	YDR018C	IV	482670	483860	-	0
YDR019C	GCV1	IV	484163	485380	-	5
YDR020C	DAS2	IV	485746	486456	-	4
YDR021W	FAL1	IV	486804	488003	+	0
YDR022C	ATG31	IV	488072	488662	-	0
YDR023W	SES1	IV	489508	490896	+	0
YDR025W	RPS11A	IV	491515	492324	+	0
YDR026C	NSI1	IV	492556	494268	-	0
YDR027C	VPS54	IV	494649	497327	-	3
YDR028C	REG1	IV	497835	500879	-	0
YDR030C	RAD28	IV	501753	503273	-	0
YDR031W	MIX14	IV	503498	503863	+	0
YDR032C	PST2	IV	504099	504752	-	19
YDR033W	MRH1	IV	508141	509109	+	2
YDR034C	LYS14	IV	509737	512127	-	6
YDR034W-B	YDR034W-B	IV	521314	521469	+	0
YDR035W	ARO3	IV	521813	522928	+	1
YDR036C	EHD3	IV	523211	524716	-	1
YDR037W	KRS1	IV	525422	527215	+	6
YDR041W	RSM10	IV	539803	540414	+	0
YDR042C	YDR042C	IV	540601	541203	-	0
YDR043C	NRG1	IV	542674	543399	-	10
YDR044W	HEM13	IV	546630	547628	+	4
YDR045C	RPC11	IV	547978	548310	-	0
YDR046C	BAP3	IV	548762	550576	-	0
YDR047W	HEM12	IV	551764	552948	+	32
YDR049W	VMS1	IV	553254	555152	+	0
YDR050C	TPI1	IV	555726	556487	-	5
YDR051C	DET1	IV	557056	558060	-	0
YDR052C	DBF4	IV	558511	560625	-	0
YDR054C	CDC34	IV	561440	562399	-	24
YDR055W	PST1	IV	563527	564861	+	0
YDR056C	EMC10	IV	565023	565658	-	6
YDR057W	YOS9	IV	565927	567555	+	0
YDR058C	TGL2	IV	567723	568712	-	3
YDR059C	UBC5	IV	569234	569803	-	11
YDR060W	MAK21	IV	570646	573726	+	1
YDR061W	YDR061W	IV	574161	575783	+	1
YDR062W	LCB2	IV	576471	578159	+	1
YDR063W	AIM7	IV	578627	579112	+	12
YDR064W	RPS13	IV	579458	580452	+	0
YDR066C	RTR2	IV	581908	582510	-	4
YDR067C	OCA6	IV	582791	583477	-	4
YDR068W	DOS2	IV	583713	584645	+	0
YDR069C	DOA4	IV	584939	587719	-	0
YDR070C	FMP16	IV	588098	588391	-	4
YDR071C	PAA1	IV	588827	589402	-	0
YDR072C	IPT1	IV	589761	591344	-	0
YDR073W	SNF11	IV	592388	592948	+	17
YDR074W	TPS2	IV	593821	596583	+	24
YDR075W	PPH3	IV	597123	598082	+	11
YDR077W	SED1	IV	600769	601809	+	8
YDR078C	SHU2	IV	602198	602875	-	2
YDR079C-A	TFB5	IV	603593	603811	-	0
YDR079W	PET100	IV	603064	603399	+	0
YDR080W	VPS41	IV	604008	606986	+	0
YDR081C	PDC2	IV	607304	610093	-	4
YDR082W	STN1	IV	610441	611925	+	0
YDR083W	RRP8	IV	612055	613251	+	6
YDR084C	TVP23	IV	613405	614004	-	0
YDR085C	AFR1	IV	614288	616264	-	38
YDR086C	SSS1	IV	616928	617242	-	24
YDR087C	RRP1	IV	617470	618321	-	5
YDR088C	SLU7	IV	618497	619732	-	29
YDR089W	VTC5	IV	622088	624721	+	8
YDR090C	YDR090C	IV	625066	625998	-	0
YDR091C	RLI1	IV	626708	628537	-	1
YDR092W	UBC13	IV	629876	630605	+	0
YDR096W	GIS1	IV	637139	639823	+	0
YDR097C	MSH6	IV	640109	643837	-	0
YDR098C	GRX3	IV	644178	645035	-	35
YDR099W	BMH2	IV	653607	654428	+	0
YDR100W	TVP15	IV	654998	655444	+	5
YDR101C	ARX1	IV	655686	657470	-	1
YDR103W	STE5	IV	658350	661103	+	0
YDR105C	TMS1	IV	665349	666770	-	0
YDR106W	ARP10	IV	667004	667858	+	0
YDR107C	TMN2	IV	669016	671034	-	0
YDR108W	TRS85	IV	671266	673365	+	1
YDR109C	YDR109C	IV	673520	675667	-	0
YDR110W	FOB1	IV	676087	677802	+	5
YDR111C	ALT2	IV	678241	679764	-	0
YDR113C	PDS1	IV	680496	681617	-	0
YDR115W	MRX14	IV	682175	682492	+	0
YDR116C	MRPL1	IV	682724	683581	-	0
YDR117C	TMA64	IV	683946	685655	-	4
YDR118W	APC4	IV	685867	687840	+	5
YDR119W	VBA4	IV	688227	690533	+	0
YDR119W-A	COX26	IV	691005	691214	+	3
YDR120C	TRM1	IV	691549	693261	-	0
YDR121W	DPB4	IV	693558	694175	+	9
YDR123C	INO2	IV	698554	699492	-	8
YDR124W	YDR124W	IV	700315	701289	+	0
YDR125C	ECM18	IV	701397	702758	-	0
YDR126W	SWF1	IV	703234	704244	+	0
YDR127W	ARO1	IV	704481	709250	+	1
YDR128W	MTC5	IV	709519	712995	+	10
YDR129C	SAC6	IV	713340	715379	-	0
YDR130C	FIN1	IV	715747	716634	-	4
YDR131C	YDR131C	IV	716790	718460	-	0
YDR132C	YDR132C	IV	718816	720303	-	0
YDR135C	YCF1	IV	723004	727551	-	0
YDR138W	HPR1	IV	730575	732836	+	1
YDR139C	RUB1	IV	733618	733924	-	0
YDR140W	MTQ2	IV	734138	734803	+	0
YDR142C	PEX7	IV	740473	741771	-	57
YDR143C	SAN1	IV	742042	743883	-	3
YDR144C	MKC7	IV	744311	746206	-	35
YDR145W	TAF12	IV	746738	748357	+	0
YDR146C	SWI5	IV	748613	750760	-	6
YDR147W	EKI1	IV	751628	753235	+	1
YDR148C	KGD2	IV	753675	755066	-	0
YDR151C	CTH1	IV	764178	765155	-	0
YDR152W	GIR2	IV	765706	766503	+	0
YDR153C	ENT5	IV	766736	767989	-	6
YDR155C	CPR1	IV	768512	769000	-	0
YDR156W	RPA14	IV	769525	769938	+	0
YDR158W	HOM2	IV	770333	771454	+	8
YDR159W	SAC3	IV	771877	775782	+	0
YDR162C	NBP2	IV	780390	781175	-	25
YDR163W	CWC15	IV	781423	781950	+	0
YDR164C	SEC1	IV	782041	784218	-	1
YDR165W	TRM82	IV	784829	786205	+	14
YDR166C	SEC5	IV	786306	789221	-	0
YDR167W	TAF10	IV	789437	790069	+	4
YDR168W	CDC37	IV	790304	791848	+	8
YDR169C	STB3	IV	792348	793922	-	11
YDR171W	HSP42	IV	806576	807748	+	15
YDR172W	SUP35	IV	808300	810381	+	8
YDR173C	ARG82	IV	810565	811671	-	13
YDR174W	HMO1	IV	812110	812850	+	0
YDR175C	RSM24	IV	813193	814164	-	4
YDR177W	UBC1	IV	816878	817525	+	0
YDR178W	SDH4	IV	817854	818495	+	32
YDR179C	CSN9	IV	818708	819196	-	0
YDR179W-A	NVJ3	IV	819433	820824	+	0
YDR180W	SCC2	IV	821295	825776	+	0
YDR181C	SAS4	IV	825910	827355	-	0
YDR182W	CDC1	IV	827582	829057	+	0
YDR182W-A	YDR182W-A	IV	829106	829354	+	15
YDR183W	PLP1	IV	829579	830277	+	2
YDR184C	ATC1	IV	830629	831516	-	1
YDR185C	UPS3	IV	831934	832497	-	8
YDR186C	SND1	IV	832859	835495	-	1
YDR188W	CCT6	IV	836421	838061	+	0
YDR189W	SLY1	IV	838371	840392	+	7
YDR191W	HST4	IV	842295	843449	+	14
YDR192C	NUP42	IV	843569	844906	-	15
YDR194C	MSS116	IV	845952	847946	-	0
YDR195W	REF2	IV	848599	850200	+	0
YDR196C	CAB5	IV	850274	850999	-	0
YDR197W	CBS2	IV	851195	852397	+	11
YDR198C	RKM2	IV	852533	853972	-	0
YDR200C	VPS64	IV	854279	856102	-	3
YDR201W	SPC19	IV	856317	856814	+	0
YDR204W	COQ4	IV	858137	859144	+	0
YDR205W	MSC2	IV	859343	861520	+	1
YDR206W	EBS1	IV	862054	864708	+	0
YDR207C	UME6	IV	865012	867525	-	1
YDR208W	MSS4	IV	868224	870563	+	0
YDR210W	YDR210W	IV	871074	871301	+	0
YDR211W	GCD6	IV	884715	886865	+	4
YDR212W	TCP1	IV	887232	888911	+	0
YDR213W	UPC2	IV	889688	892492	+	21
YDR214W	AHA1	IV	892869	893927	+	2
YDR216W	ADR1	IV	895029	899006	+	2
YDR217C	RAD9	IV	899551	903498	-	6
YDR219C	MFB1	IV	905455	906852	-	0
YDR221W	GTB1	IV	907330	909438	+	0
YDR222W	YDR222W	IV	910021	911301	+	11
YDR223W	CRF1	IV	912081	913502	+	6
YDR224C	HTB1	IV	914317	914712	-	0
YDR225W	HTA1	IV	915512	915928	+	6
YDR226W	ADK1	IV	916486	917154	+	0
YDR227W	SIR4	IV	917493	921647	+	26
YDR228C	PCF11	IV	921926	923809	-	1
YDR231C	COX20	IV	926293	926910	-	0
YDR232W	HEM1	IV	927452	929098	+	0
YDR233C	RTN1	IV	929470	930375	-	6
YDR234W	LYS4	IV	931129	933210	+	0
YDR235W	PRP42	IV	933504	935138	+	0
YDR236C	FMN1	IV	935236	935898	-	2
YDR237W	MRPL7	IV	936576	937493	+	13
YDR238C	SEC26	IV	937895	940816	-	0
YDR239C	YDR239C	IV	941057	943423	-	1
YDR240C	SNU56	IV	943674	945155	-	1
YDR243C	PRP28	IV	948518	950284	-	0
YDR244W	PEX5	IV	950563	952401	+	0
YDR245W	MNN10	IV	952773	953981	+	9
YDR246W	TRS23	IV	954273	954947	+	5
YDR247W	VHS1	IV	956013	957398	+	0
YDR248C	YDR248C	IV	957758	958348	-	3
YDR249C	YDR249C	IV	958681	959808	-	2
YDR251W	PAM1	IV	960611	963106	+	1
YDR252W	BTT1	IV	963412	963861	+	0
YDR253C	MET32	IV	963990	964583	-	6
YDR254W	CHL4	IV	965113	966489	+	0
YDR255C	RMD5	IV	966557	967825	-	1
YDR256C	CTA1	IV	968133	969680	-	0
YDR257C	RKM4	IV	969990	971474	-	0
YDR259C	YAP6	IV	974631	975842	-	20
YDR260C	SWM1	IV	976717	977244	-	5
YDR261C	EXG2	IV	977521	979224	-	5
YDR262W	YDR262W	IV	993128	993952	+	2
YDR263C	DIN7	IV	994242	995540	-	2
YDR264C	AKR1	IV	996029	998323	-	0
YDR265W	PEX10	IV	998864	999877	+	0
YDR266C	HEL2	IV	1000104	1002029	-	2
YDR267C	CIA1	IV	1002510	1003502	-	0
YDR268W	MSW1	IV	1003977	1005143	+	9
YDR270W	CCC2	IV	1005675	1008689	+	0
YDR272W	GLO2	IV	1009010	1009834	+	0
YDR273W	DON1	IV	1010176	1011273	+	0
YDR275W	BSC2	IV	1012120	1012959	+	44
YDR276C	PMP3	IV	1013476	1013643	-	0
YDR277C	MTH1	IV	1014401	1015735	-	11
YDR279W	RNH202	IV	1019347	1020420	+	7
YDR280W	RRP45	IV	1020735	1021664	+	4
YDR281C	PHM6	IV	1022007	1022345	-	8
YDR282C	MRX10	IV	1023511	1024755	-	0
YDR284C	DPP1	IV	1030550	1031428	-	3
YDR286C	YDR286C	IV	1035231	1035581	-	2
YDR287W	INM2	IV	1035986	1036873	+	3
YDR288W	NSE3	IV	1037165	1038106	+	10
YDR289C	RTT103	IV	1038280	1039524	-	5
YDR291W	HRQ1	IV	1039728	1042961	+	0
YDR292C	SRP101	IV	1043146	1045038	-	9
YDR293C	SSD1	IV	1045640	1049533	-	47
YDR294C	DPL1	IV	1050459	1052246	-	6
YDR295C	HDA2	IV	1052623	1054683	-	12
YDR296W	MHR1	IV	1055164	1055892	+	16
YDR297W	SUR2	IV	1056527	1057600	+	8
YDR298C	ATP5	IV	1058176	1058838	-	8
YDR299W	BFR2	IV	1059597	1061231	+	10
YDR300C	PRO1	IV	1061505	1062791	-	0
YDR301W	CFT1	IV	1063352	1067425	+	0
YDR303C	RSC3	IV	1068729	1071413	-	9
YDR304C	CPR5	IV	1071880	1072569	-	4
YDR305C	HNT2	IV	1072746	1073488	-	0
YDR306C	YDR306C	IV	1073735	1075171	-	0
YDR307W	PMT7	IV	1075829	1077853	+	12
YDR308C	SRB7	IV	1078027	1078485	-	12
YDR309C	GIC2	IV	1079048	1080229	-	10
YDR310C	SUM1	IV	1081128	1084316	-	0
YDR311W	TFB1	IV	1085062	1086993	+	1
YDR312W	SSF2	IV	1087572	1088942	+	3
YDR313C	PIB1	IV	1089219	1090079	-	0
YDR314C	RAD34	IV	1090433	1092529	-	6
YDR315C	IPK1	IV	1092741	1093586	-	0
YDR316W	OMS1	IV	1093757	1095178	+	2
YDR317W	HIM1	IV	1102184	1103428	+	0
YDR318W	MCM21	IV	1103746	1104947	+	4
YDR319C	YFT2	IV	1105003	1105830	-	1
YDR320C	SWA2	IV	1106095	1108101	-	0
YDR320C-A	DAD4	IV	1108280	1108498	-	0
YDR321W	ASP1	IV	1108699	1109847	+	1
YDR322C-A	TIM11	IV	1112003	1112293	-	0
YDR322W	MRPL35	IV	1110589	1111692	+	0
YDR323C	PEP7	IV	1112480	1114057	-	10
YDR324C	UTP4	IV	1114433	1116763	-	0
YDR325W	YCG1	IV	1117123	1120233	+	1
YDR326C	YSP2	IV	1120609	1124925	-	0
YDR329C	PEX3	IV	1126270	1127595	-	0
YDR331W	GPI8	IV	1129588	1130823	+	0
YDR333C	RQC1	IV	1133260	1135467	-	12
YDR335W	MSN5	IV	1141135	1144842	+	11
YDR336W	MRX8	IV	1145092	1146036	+	0
YDR337W	MRPS28	IV	1146316	1147179	+	1
YDR338C	YDR338C	IV	1147379	1149496	-	10
YDR339C	FCF1	IV	1149951	1150544	-	8
YDR341C	YDR341C	IV	1151803	1153626	-	0
YDR342C	HXT7	IV	1154216	1155970	-	14
YDR345C	HXT3	IV	1162957	1164663	-	1
YDR346C	SVF1	IV	1167214	1168659	-	0
YDR347W	MRP1	IV	1169148	1170143	+	10
YDR348C	PAL1	IV	1170326	1171843	-	6
YDR349C	YPS7	IV	1172386	1174230	-	18
YDR350C	ATP22	IV	1176120	1178180	-	2
YDR351W	SBE2	IV	1178651	1181260	+	5
YDR352W	YPQ2	IV	1181801	1182754	+	0
YDR353W	TRR1	IV	1183251	1184258	+	16
YDR354W	TRP4	IV	1184744	1185889	+	1
YDR356W	SPC110	IV	1186107	1188941	+	0
YDR357C	CNL1	IV	1189199	1189582	-	5
YDR358W	GGA1	IV	1190059	1191732	+	0
YDR359C	EAF1	IV	1191936	1194917	-	11
YDR362C	TFC6	IV	1196679	1198697	-	0
YDR363W	ESC2	IV	1199183	1200553	+	0
YDR363W-A	SEM1	IV	1202107	1202397	+	7
YDR364C	CDC40	IV	1202843	1204210	-	0
YDR365C	ESF1	IV	1204497	1206422	-	13
YDR367W	KEI1	IV	1212848	1213614	+	0
YDR368W	YPR1	IV	1213904	1214842	+	0
YDR369C	XRS2	IV	1215016	1217580	-	0
YDR370C	DXO1	IV	1217782	1219110	-	0
YDR371W	CTS2	IV	1219359	1220948	+	18
YDR372C	VPS74	IV	1221112	1222152	-	1
YDR373W	FRQ1	IV	1222759	1223331	+	0
YDR374W-A	WIP1	IV	1224757	1225026	+	0
YDR375C	BCS1	IV	1225166	1226554	-	6
YDR376W	ARH1	IV	1226759	1228303	+	21
YDR377W	ATP17	IV	1228608	1228916	+	1
YDR378C	LSM6	IV	1229349	1229612	-	1
YDR379C-A	SDH6	IV	1233278	1233517	-	0
YDR379W	RGA2	IV	1230116	1233196	+	17
YDR380W	ARO10	IV	1234218	1236125	+	0
YDR381C-A	YDR381C-A	IV	1238312	1238850	-	0
YDR381W	YRA1	IV	1236558	1238004	+	0
YDR382W	RPP2B	IV	1239492	1239824	+	0
YDR383C	NKP1	IV	1239960	1240694	-	6
YDR384C	ATO3	IV	1241204	1242049	-	6
YDR385W	EFT2	IV	1243230	1245758	+	0
YDR386W	MUS81	IV	1246084	1247982	+	0
YDR387C	CIN10	IV	1248154	1249821	-	0
YDR388W	RVS167	IV	1250180	1251634	+	2
YDR389W	SAC7	IV	1252534	1254501	+	1
YDR390C	UBA2	IV	1254937	1256847	-	0
YDR391C	YDR391C	IV	1257358	1258059	-	1
YDR392W	SPT3	IV	1258675	1259709	+	7
YDR393W	SHE9	IV	1259898	1261271	+	1
YDR394W	RPT3	IV	1261654	1262967	+	9
YDR395W	SXM1	IV	1263282	1266158	+	14
YDR397C	NCB2	IV	1266366	1266898	-	0
YDR398W	UTP5	IV	1267471	1269402	+	0
YDR399W	HPT1	IV	1270002	1270733	+	22
YDR400W	URH1	IV	1270994	1272085	+	23
YDR403W	DIT1	IV	1274602	1276212	+	0
YDR404C	RPB7	IV	1276654	1277187	-	6
YDR406W	PDR15	IV	1279210	1283799	+	0
YDR407C	TRS120	IV	1284069	1287974	-	12
YDR408C	ADE8	IV	1288215	1288877	-	6
YDR410C	STE14	IV	1292372	1293091	-	0
YDR411C	DFM1	IV	1293369	1294439	-	15
YDR412W	RRP17	IV	1294684	1295400	+	3
YDR414C	ERD1	IV	1295598	1296713	-	9
YDR416W	SYF1	IV	1298414	1301011	+	6
YDR418W	RPL12B	IV	1301607	1302113	+	3
YDR419W	RAD30	IV	1303174	1305072	+	0
YDR421W	ARO80	IV	1312001	1314892	+	13
YDR422C	SIP1	IV	1315326	1317824	-	17
YDR423C	CAD1	IV	1318046	1319275	-	0
YDR424C	DYN2	IV	1319387	1319853	-	4
YDR425W	SNX41	IV	1320037	1321941	+	9
YDR427W	RPN9	IV	1322175	1323386	+	10
YDR428C	BNA7	IV	1323454	1324245	-	2
YDR429C	TIF35	IV	1324477	1325304	-	1
YDR430C	CYM1	IV	1325501	1328491	-	7
YDR432W	NPL3	IV	1328774	1330027	+	3
YDR434W	GPI17	IV	1331234	1332841	+	1
YDR435C	PPM1	IV	1332983	1333969	-	0
YDR436W	PPZ2	IV	1334821	1336953	+	0
YDR437W	GPI19	IV	1337343	1337774	+	3
YDR438W	THI74	IV	1338274	1339386	+	0
YDR439W	LRS4	IV	1339658	1340719	+	6
YDR440W	DOT1	IV	1342469	1344241	+	8
YDR441C	APT2	IV	1344517	1345101	-	13
YDR443C	SSN2	IV	1345676	1349938	-	0
YDR444W	YDR444W	IV	1350263	1352353	+	9
YDR446W	ECM11	IV	1353725	1354633	+	0
YDR447C	RPS17B	IV	1354829	1355559	-	2
YDR448W	ADA2	IV	1356065	1357369	+	0
YDR449C	UTP6	IV	1357580	1358938	-	12
YDR450W	RPS18A	IV	1359923	1360798	+	0
YDR451C	YHP1	IV	1361120	1362199	-	6
YDR452W	PPN1	IV	1362878	1364902	+	0
YDR453C	TSA2	IV	1365072	1365707	-	15
YDR454C	GUK1	IV	1366264	1366827	-	0
YDR456W	NHX1	IV	1367485	1369386	+	0
YDR458C	HEH2	IV	1380055	1382046	-	0
YDR459C	PFA5	IV	1382319	1383443	-	0
YDR460W	TFB3	IV	1383772	1384776	+	13
YDR461C-A	YDR461C-A	IV	1385524	1385772	-	2
YDR461W	MFA1	IV	1385170	1385286	+	2
YDR462W	MRPL28	IV	1386073	1386516	+	0
YDR463W	STP1	IV	1386804	1388375	+	4
YDR464W	SPP41	IV	1388872	1393179	+	0
YDR465C	RMT2	IV	1393336	1394616	-	14
YDR468C	TLG1	IV	1398026	1398700	-	0
YDR469W	SDC1	IV	1398997	1399542	+	6
YDR470C	UGO1	IV	1399706	1401214	-	0
YDR471W	RPL27B	IV	1401758	1402564	+	4
YDR472W	TRS31	IV	1403319	1404173	+	1
YDR473C	PRP3	IV	1404445	1405854	-	0
YDR475C	JIP4	IV	1407464	1410094	-	0
YDR476C	YDR476C	IV	1410453	1411145	-	6
YDR477W	SNF1	IV	1412346	1414274	+	9
YDR478W	SNM1	IV	1414566	1415171	+	3
YDR479C	PEX29	IV	1415210	1416874	-	0
YDR481C	PHO8	IV	1418550	1420265	-	5
YDR482C	CWC21	IV	1420431	1420838	-	0
YDR483W	KRE2	IV	1421157	1422485	+	0
YDR484W	VPS52	IV	1422763	1424688	+	0
YDR485C	VPS72	IV	1424820	1427210	-	1
YDR486C	VPS60	IV	1427431	1428123	-	1
YDR487C	RIB3	IV	1428354	1429046	-	22
YDR488C	PAC11	IV	1429188	1430795	-	2
YDR489W	SLD5	IV	1431009	1431896	+	1
YDR490C	PKH1	IV	1431968	1434340	-	24
YDR492W	IZH1	IV	1434924	1435874	+	0
YDR493W	MZM1	IV	1436217	1436588	+	0
YDR494W	RSM28	IV	1436930	1438015	+	0
YDR495C	VPS3	IV	1438115	1441150	-	0
YDR496C	PUF6	IV	1441433	1443409	-	2
YDR497C	ITR1	IV	1443713	1445527	-	20
YDR498C	SEC20	IV	1445843	1447012	-	6
YDR499W	LCD1	IV	1447830	1450073	+	0
YDR500C	RPL37B	IV	1450198	1450853	-	0
YDR501W	PLM2	IV	1451335	1452918	+	6
